Time,Container,From,To,CTMType
11/30/2021 9:39,SMCU1280885,RTG26,256578,CheToTruck
11/30/2021 9:39,MRSU4543893,RTG22,MM5_490_E_3,CheToStack
11/30/2021 9:40,MEDU8120181,RTG25,DD6_644_E_1,CheToStack
11/30/2021 9:41,TCNU3180160,RTG23,EE1_132_A_1,CheToStack
11/30/2021 9:41,DRYU2468884,RTG28,Unknown,CheToTruck
11/30/2021 9:41,MSMU7928646,RTG17,254426,CheToTruck
11/30/2021 9:42,MRKU4806092,RTG16,MM5_548_C_4,CheToStack
11/30/2021 9:42,SMCU2003381,RTG22,MM5_493_C_4,CheToStack
11/30/2021 9:42,TGBU4540656,RTG25,86709,CheToTruck
11/30/2021 9:43,YMLU9019320,RTG26,271696,CheToTruck
11/30/2021 9:43,SMCU1223720,RTG23,226469,CheToTruck
11/30/2021 9:43,MRKU5119070,RTG16,159120,CheToTruck
11/30/2021 9:43,TEMU4767017,RTG22,MM5_493_E_2,CheToStack
11/30/2021 9:44,S0025365298,RTG28,85804,CheToTruck
11/30/2021 9:45,DFSU2496315,RTG22,MM5_493_E_3,CheToStack
11/30/2021 9:45,CAIU9895090,RTG17,NN1_194_B_4,CheToStack
11/30/2021 9:45,TCNU3180160,RTG23,EE1_132_F_2,CheToStack
11/30/2021 9:45,GAOU6714407,RTG26,EE3_454_F_1,CheToStack
11/30/2021 9:46,MRSU5232941,RTG21,138792,CheToTruck
11/30/2021 9:46,S0025365330,RTG27,EE5_530_E_2,CheToStack
11/30/2021 9:47,TTNU5668536,RTG17,NN1_194_A_2,CheToStack
11/30/2021 9:47,BMOU2102791,RTG22,354959,CheToTruck
11/30/2021 9:47,TRHU8077179,RTG26,198034,CheToTruck
11/30/2021 9:48,MEDU8370982,RTG28,307663,CheToTruck
11/30/2021 9:48,MSKU8884351,RTG16,347500,CheToTruck
11/30/2021 9:48,S0025365370,RTG25,DD6_632_C_4,CheToStack
11/30/2021 9:48,MSDU4000462,RTG17,356347,CheToTruck
11/30/2021 9:49,S0025365365,RTG27,EE5_530_E_3,CheToStack
11/30/2021 9:50,TCLU1822670,RTG25,DD6_632_A_4,CheToStack
11/30/2021 9:50,MSMU6502070,RTG16,MM5_548_F_1,CheToStack
11/30/2021 9:51,MSDU7475414,RTG17,NN1_168_A_4,CheToStack
